original_url,object_key,backup_key,original_size_mb,optimized_size_mb,original_duration_seconds,final_duration_seconds,crf_used,status,error
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-oyster-eating.mp4,videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-oyster-eating.mp4,videos-yumzy-backup/ASIATIC-FOOD/ASIATIC-FOOD-oyster-eating.mp4,6.56,4.54,11.30,10.00,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-ramen-chopsticks.mp4,videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-ramen-chopsticks.mp4,videos-yumzy-backup/ASIATIC-FOOD/ASIATIC-FOOD-ramen-chopsticks.mp4,9.36,1.71,7.42,7.42,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-spring-rolls.mp4,videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-spring-rolls.mp4,videos-yumzy-backup/ASIATIC-FOOD/ASIATIC-FOOD-spring-rolls.mp4,7.84,7.84,4.95,4.95,,skipped_already_optimized,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-vitnamese-soup.mp4,videos-yumzy/ASIATIC-FOOD/ASIATIC-FOOD-vitnamese-soup.mp4,videos-yumzy-backup/ASIATIC-FOOD/ASIATIC-FOOD-vitnamese-soup.mp4,9.69,4.73,14.29,10.00,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/BRAKEFAST-FOOD/BRAKEFAST-FOOD-desert-donut.mp4,videos-yumzy/BRAKEFAST-FOOD/BRAKEFAST-FOOD-desert-donut.mp4,videos-yumzy-backup/BRAKEFAST-FOOD/BRAKEFAST-FOOD-desert-donut.mp4,8.50,3.77,15.25,10.01,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/BRAKEFAST-FOOD/BRAKEFAST-FOOD-ommlete-fork.mp4,videos-yumzy/BRAKEFAST-FOOD/BRAKEFAST-FOOD-ommlete-fork.mp4,videos-yumzy-backup/BRAKEFAST-FOOD/BRAKEFAST-FOOD-ommlete-fork.mp4,13.00,2.05,8.76,8.76,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/BURGER-FOOD/BURGER-FOOD-burger-in-flames.mp4,videos-yumzy/BURGER-FOOD/BURGER-FOOD-burger-in-flames.mp4,videos-yumzy-backup/BURGER-FOOD/BURGER-FOOD-burger-in-flames.mp4,3.88,3.88,6.27,6.27,,skipped_already_optimized,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/BURGER-FOOD/BURGER-FOOD-red-burger.mp4,videos-yumzy/BURGER-FOOD/BURGER-FOOD-red-burger.mp4,videos-yumzy-backup/BURGER-FOOD/BURGER-FOOD-red-burger.mp4,2.96,2.96,6.97,6.97,,skipped_already_optimized,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/BURGER-FOOD/BURGER-FOOD-sauce-pouring-over-burger.mp4,videos-yumzy/BURGER-FOOD/BURGER-FOOD-sauce-pouring-over-burger.mp4,videos-yumzy-backup/BURGER-FOOD/BURGER-FOOD-sauce-pouring-over-burger.mp4,5.85,2.10,14.36,10.00,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/GRILLED-FOOD/GRILLED-FOOD-frigarui-orez.mp4,videos-yumzy/GRILLED-FOOD/GRILLED-FOOD-frigarui-orez.mp4,videos-yumzy-backup/GRILLED-FOOD/GRILLED-FOOD-frigarui-orez.mp4,3.82,3.82,7.07,7.07,,skipped_already_optimized,
